Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
9984878,51,18,single,rented,yes,Comedian,Jammu[16],Jammu_and_Kashmir,8,12,0
9674252,41,7,single,rented,yes,Petroleum_Engineer,Patiala,Punjab,6,13,0
6861266,58,3,single,rented,yes,Economist,Satara,Maharashtra,3,13,0
2556201,62,14,single,rented,no,Drafter,Chittoor[28],Andhra_Pradesh,11,12,0
1011785,65,4,single,rented,no,Chef,Tiruppur,Tamil_Nadu,4,14,0
2822951,45,8,single,rented,yes,Fashion_Designer,Vijayanagaram,Andhra_Pradesh,8,14,0
7722579,70,9,married,rented,no,Design_Engineer,Rajahmundry[19][20],Andhra_Pradesh,9,11,0
5734542,32,12,single,rented,no,Software_Developer,Unnao,Uttar_Pradesh,5,13,0
1494586,63,20,single,rented,yes,Financial_Analyst,Nandyal,Andhra_Pradesh,3,11,0
6212340,56,11,single,rented,no,Drafter,Buxar[37],Bihar,11,12,0
5075609,73,9,single,rented,no,Consultant,Siwan[32],Bihar,4,14,0
4028229,46,17,single,rented,no,Analyst,Kota[6],Rajasthan,5,12,0
7756519,56,4,single,rented,no,Lawyer,Jhansi,Uttar_Pradesh,4,14,0
3117744,55,18,single,rented,no,Flight_attendant,Amritsar,Punjab,7,12,0
7623549,41,9,single,rented,no,Chartered_Accountant,Ajmer,Rajasthan,3,13,0
5121883,32,7,married,rented,no,Lawyer,Ludhiana,Punjab,5,12,0
5445375,52,19,single,rented,no,Psychologist,Kulti,West_Bengal,5,12,0
3705729,73,4,single,rented,no,Architect,New_Delhi,Delhi,4,13,0
6994513,76,18,single,rented,yes,Economist,Pali,Rajasthan,6,14,0
1077610,30,12,single,rented,no,Aviator,Chennai,Tamil_Nadu,9,11,0
5356355,34,6,single,rented,yes,Chartered_Accountant,Karnal,Haryana,6,13,0
1926471,69,18,single,rented,no,Industrial_Engineer,Medininagar,Jharkhand,4,13,0
8991721,35,6,single,rented,yes,Magistrate,Panvel,Maharashtra,6,12,0
7380194,63,3,married,rented,yes,Psychologist,Farrukhabad,Uttar_Pradesh,3,11,0
529939,48,18,single,rented,no,Chemical_engineer,Mathura,Uttar_Pradesh,6,13,0
7303456,56,17,single,rented,no,Civil_engineer,Giridih,Jharkhand,14,10,0
5678134,59,1,single,rented,no,Chef,Cuttack,Odisha,1,11,0
7839236,68,7,single,rented,no,Biomedical_Engineer,Amravati,Maharashtra,7,14,0
551210,32,5,single,rented,yes,Comedian,Mangalore,Karnataka,3,10,0
4607910,66,7,single,rented,yes,Computer_operator,Alappuzha,Kerala,7,14,0
1191020,31,15,married,rented,yes,Official,Allahabad,Uttar_Pradesh[5],5,10,0
4015092,72,18,single,rented,yes,Consultant,Aurangabad[39],Bihar,11,12,0
6200661,40,3,single,rented,no,Psychologist,Orai,Uttar_Pradesh,3,10,0
6460018,75,0,single,rented,no,Computer_operator,Kochi,Kerala,0,14,0
2110080,70,19,single,rented,yes,Chemical_engineer,Tiruvottiyur,Tamil_Nadu,7,13,0
5732142,25,2,single,rented,no,Air_traffic_controller,Davanagere,Karnataka,2,11,0
450688,72,7,single,rented,no,Petroleum_Engineer,Hajipur[31],Bihar,7,14,0
3411403,43,14,single,rented,no,Magistrate,Tumkur,Karnataka,6,14,0
5194149,49,17,single,rented,no,Surgeon,Satara,Maharashtra,6,12,0
5824192,74,20,single,rented,no,Secretary,Tezpur,Assam,6,14,0
4242266,43,5,single,rented,no,Technology_specialist,Junagadh,Gujarat,4,14,0
5456621,60,16,single,rented,no,Analyst,Rewa,Madhya_Pradesh,9,13,0
7816158,44,8,single,rented,no,Design_Engineer,Nashik,Maharashtra,8,13,0
9585696,42,13,single,rented,yes,Official,Anantapuram[24],Andhra_Pradesh,3,12,0
1079200,77,12,married,norent_noown,no,Dentist,Pudukkottai,Tamil_Nadu,11,10,0
2562525,54,8,single,rented,yes,Software_Developer,Loni,Uttar_Pradesh,8,11,0
273058,67,8,single,rented,no,Physician,Anantapur,Andhra_Pradesh,7,11,0
831067,48,2,married,rented,no,Dentist,Raurkela_Industrial_Township,Odisha,2,11,0
5993219,79,17,single,rented,yes,Biomedical_Engineer,Nagaon,Assam,4,12,0
7702379,76,6,single,rented,no,Biomedical_Engineer,Vasai-Virar,Maharashtra,6,10,0
9377132,34,2,single,rented,no,Scientist,Danapur,Bihar,2,12,0
7829826,58,6,single,rented,yes,Web_designer,Karimnagar,Telangana,6,11,0
2307924,51,15,single,rented,yes,Fashion_Designer,Agra,Uttar_Pradesh,6,13,0
1798025,45,18,single,rented,no,Statistician,Malegaon,Maharashtra,10,12,0
921080,45,8,single,rented,no,Chartered_Accountant,Sangli-Miraj_&_Kupwad,Maharashtra,4,11,0
5957090,48,18,married,rented,yes,Economist,HubliÃ¢â¬âDharwad,Karnataka,3,12,0
2522107,30,5,single,rented,no,Magistrate,Dibrugarh,Assam,5,13,0
7430474,63,16,single,rented,no,Magistrate,Mahbubnagar,Telangana,6,11,0
7977722,69,19,married,rented,no,Flight_attendant,Morbi,Gujarat,14,12,0
1133422,44,15,single,norent_noown,no,Industrial_Engineer,Ghaziabad,Uttar_Pradesh,13,14,0
579572,70,3,married,rented,yes,Statistician,Parbhani,Maharashtra,3,10,0
5099918,35,10,single,rented,no,Design_Engineer,Hosur,Tamil_Nadu,10,11,0
221630,58,12,single,rented,yes,Web_designer,Durg,Chhattisgarh,7,12,0
152331,64,6,single,rented,no,Secretary,Karawal_Nagar,Delhi,6,10,0
78418,35,18,single,rented,no,Air_traffic_controller,Bathinda,Punjab,12,12,0
2177728,29,7,married,rented,yes,Dentist,Thane,Maharashtra,7,14,0
160166,53,16,single,rented,no,Magistrate,Vadodara,Gujarat,9,11,0
1968038,21,2,single,rented,no,Chartered_Accountant,Morena,Madhya_Pradesh,2,13,0
1503033,72,19,married,rented,no,Software_Developer,Ghaziabad,Uttar_Pradesh,3,12,0
8867649,78,1,single,rented,no,Industrial_Engineer,Dindigul,Tamil_Nadu,1,12,0
8545933,49,12,single,rented,yes,Technician,Ballia,Uttar_Pradesh,4,14,0
6971490,58,18,single,rented,no,Chemical_engineer,Bellary,Karnataka,10,13,0
9455042,33,20,single,rented,no,Politician,Bokaro,Jharkhand,10,12,0
4277458,41,8,single,rented,no,Civil_engineer,Kumbakonam,Tamil_Nadu,8,11,0
904634,73,19,single,rented,no,Air_traffic_controller,Rajkot,Gujarat,7,12,0
5354560,58,13,single,rented,yes,Hotel_Manager,Anand,Gujarat,5,13,0
7945384,35,19,single,rented,yes,Firefighter,Dharmavaram,Andhra_Pradesh,11,11,0
4734936,31,1,single,rented,yes,Librarian,Ongole,Andhra_Pradesh,1,10,0
9705356,34,9,married,rented,no,Surgeon,Ghaziabad,Uttar_Pradesh,8,14,0
8217987,56,13,single,rented,yes,Graphic_Designer,Kolhapur,Maharashtra,8,14,0
6997997,23,17,single,rented,no,Chemical_engineer,Etawah,Uttar_Pradesh,5,12,0
3198849,74,3,single,owned,no,Scientist,Jodhpur,Rajasthan,3,10,0
1727393,44,8,single,rented,no,Mechanical_engineer,Ulhasnagar,Maharashtra,8,12,0
1076578,56,18,single,rented,no,Design_Engineer,Hazaribagh,Jharkhand,10,10,0
4095889,71,6,single,rented,no,Chef,Dhanbad,Jharkhand,6,11,0
8947393,68,1,single,rented,yes,Civil_servant,Satna,Madhya_Pradesh,1,10,0
6712876,51,17,single,rented,yes,Librarian,Panchkula,Haryana,3,14,0
9500602,70,16,single,rented,no,Firefighter,Rampur,Uttar_Pradesh,14,13,0
9317664,62,8,single,rented,yes,Computer_operator,Mathura,Uttar_Pradesh,8,12,0
7184863,49,19,single,rented,no,Flight_attendant,Cuttack,Odisha,7,13,0
6915072,26,3,single,rented,no,Chemical_engineer,Howrah,West_Bengal,3,12,0
5663883,37,4,single,rented,no,Artist,Ajmer,Rajasthan,4,11,0
4247387,65,20,single,rented,yes,Microbiologist,Sikar,Rajasthan,4,10,0
1169819,72,18,single,rented,yes,Computer_operator,Vadodara,Gujarat,11,10,0
2675511,69,3,single,rented,no,Chartered_Accountant,Vijayanagaram,Andhra_Pradesh,3,10,0
6051217,48,20,single,owned,no,Analyst,Proddatur,Andhra_Pradesh,7,12,0
4830100,37,11,married,rented,yes,Drafter,Udupi,Karnataka,11,12,0
3959539,38,0,single,norent_noown,no,Microbiologist,Tadepalligudem,Andhra_Pradesh,0,14,0
7475587,26,16,single,rented,yes,Statistician,Patna,Bihar,7,13,0
9735655,57,2,single,rented,no,Artist,Cuttack,Odisha,2,13,0
2531017,43,16,single,rented,no,Surgeon,Latur,Maharashtra,13,13,0
3508614,32,11,single,rented,no,Economist,Jhansi,Uttar_Pradesh,8,13,0
7830578,43,15,married,rented,no,Web_designer,Panvel,Maharashtra,6,10,0
2805855,42,7,single,rented,no,Civil_engineer,Thane,Maharashtra,7,11,0
1079145,66,16,single,rented,yes,Engineer,Kolhapur,Maharashtra,9,13,0
8261806,70,6,single,rented,no,Graphic_Designer,Mangalore,Karnataka,6,11,0
3463312,76,2,single,rented,yes,Psychologist,Jabalpur,Madhya_Pradesh,2,10,0
2034897,38,20,single,rented,no,Flight_attendant,Mau,Uttar_Pradesh,9,12,0
97034,34,4,single,rented,yes,Mechanical_engineer,Vijayanagaram,Andhra_Pradesh,4,11,0
2625246,30,19,single,rented,yes,Fashion_Designer,Proddatur,Andhra_Pradesh,7,12,0
6558967,41,10,married,rented,no,Comedian,Bongaigaon,Assam,10,12,0
7164170,49,19,single,rented,no,Fashion_Designer,Ramgarh,Jharkhand,3,11,0
9268382,27,10,single,rented,no,Psychologist,Bidar,Karnataka,10,11,0
2560874,38,5,single,rented,no,Industrial_Engineer,Narasaraopet,Andhra_Pradesh,5,13,0
8215558,43,1,single,rented,yes,Surveyor,Dindigul,Tamil_Nadu,1,13,0
245844,67,4,married,rented,no,Economist,Bhatpara,West_Bengal,3,11,0
4792641,40,15,single,rented,yes,Software_Developer,Kakinada,Andhra_Pradesh,13,10,0
3753805,68,0,single,rented,no,Physician,Srinagar,Jammu_and_Kashmir,0,13,0
5073397,41,9,single,rented,no,Computer_hardware_engineer,Bhind,Madhya_Pradesh,4,12,0
4126991,66,3,single,rented,no,Microbiologist,Nagaon,Assam,3,12,0
5340166,30,1,single,rented,yes,Engineer,Siliguri,West_Bengal,1,11,0
8828187,66,10,single,rented,no,Industrial_Engineer,Ongole,Andhra_Pradesh,8,11,0
1725008,21,17,single,rented,no,Magistrate,Giridih,Jharkhand,5,12,0
496449,44,12,single,rented,no,Architect,Erode[17],Tamil_Nadu,10,10,0
9904602,51,14,single,rented,no,Dentist,Rajpur_Sonarpur,West_Bengal,6,11,0
3430690,60,12,single,rented,yes,Petroleum_Engineer,Patna,Bihar,12,12,0
1415262,67,1,single,rented,no,Air_traffic_controller,Begusarai,Bihar,1,11,0
430586,59,7,single,rented,no,Magistrate,Arrah,Bihar,7,13,0
670260,70,16,single,rented,no,Army_officer,Siwan[32],Bihar,14,14,0
5732142,25,2,single,rented,no,Air_traffic_controller,Davanagere,Karnataka,2,11,0
3093599,45,10,single,rented,yes,Geologist,Jorhat,Assam,4,13,0
6681037,56,15,single,rented,no,Chef,Bhilwara,Rajasthan,13,12,0
1852691,49,12,single,rented,no,Surveyor,Ludhiana,Punjab,12,10,0
7202212,75,19,single,rented,no,Librarian,Danapur,Bihar,8,10,0
384955,74,20,single,rented,no,Economist,Dharmavaram,Andhra_Pradesh,9,13,0
1117250,52,7,single,rented,no,Chemical_engineer,Hapur,Uttar_Pradesh,5,14,0
5899176,38,15,single,rented,yes,Surgeon,Vellore,Tamil_Nadu,13,10,0
4370986,31,9,single,rented,no,Engineer,Mumbai,Maharashtra,4,12,0
3125348,79,17,single,rented,no,Architect,Vellore,Tamil_Nadu,9,13,0
4360025,23,0,single,norent_noown,no,Physician,Bhalswa_Jahangir_Pur,Delhi,0,13,0
1477651,50,15,single,rented,no,Surveyor,Dewas,Madhya_Pradesh,8,13,0
2707807,35,12,single,rented,no,Civil_engineer,Ambarnath,Maharashtra,4,13,0
4558531,41,18,single,rented,yes,Consultant,Kollam,Kerala,6,14,0
1582604,33,1,single,rented,yes,Engineer,Berhampur,Odisha,1,10,0
1759925,47,18,single,owned,no,Comedian,Katni,Madhya_Pradesh,7,14,0
7023655,23,0,single,rented,no,Industrial_Engineer,Morbi,Gujarat,0,13,0
5647261,64,10,single,rented,no,Psychologist,Bhusawal,Maharashtra,10,10,0
582273,64,14,single,rented,no,Dentist,Karnal,Haryana,3,13,0
6392443,32,8,single,rented,no,Surveyor,North_Dumdum,West_Bengal,8,12,0
5096110,24,18,single,rented,yes,Surgeon,Kishanganj[35],Bihar,11,12,0
9725950,74,20,single,rented,no,Aviator,Jorhat,Assam,5,12,0
44231,54,13,married,rented,no,Chemical_engineer,Tirupati[21][22],Andhra_Pradesh,4,12,0
2607355,56,7,single,rented,no,Air_traffic_controller,Jorhat,Assam,7,14,0
2240686,42,1,single,rented,no,Computer_hardware_engineer,Dharmavaram,Andhra_Pradesh,1,13,0
8576968,35,18,single,rented,no,Drafter,Ambattur,Tamil_Nadu,5,12,0
2471915,73,18,single,rented,no,Chemical_engineer,Purnia[26],Bihar,14,13,0
9468291,32,0,single,rented,no,Geologist,Visakhapatnam[4],Andhra_Pradesh,0,12,0
9704353,73,18,single,rented,no,Magistrate,Phusro,Jharkhand,9,12,0
2359728,66,14,single,rented,no,Industrial_Engineer,Vijayawada,Andhra_Pradesh,3,14,0
3854933,59,10,married,rented,yes,Police_officer,Hospet,Karnataka,5,11,0
9798315,41,4,single,rented,no,Chartered_Accountant,Amritsar,Punjab,4,12,0
8025541,53,9,married,rented,no,Chemical_engineer,Ghaziabad,Uttar_Pradesh,7,14,0
2060668,67,8,single,rented,yes,Army_officer,Agra,Uttar_Pradesh,3,13,0
5679259,78,17,single,rented,no,Official,Rohtak,Haryana,14,10,0
5495682,33,3,single,rented,no,Scientist,Tinsukia,Assam,3,12,0
6487755,78,12,married,owned,no,Consultant,Ghaziabad,Uttar_Pradesh,6,11,0
158353,54,15,single,rented,no,Lawyer,Hospet,Karnataka,10,14,0
3577693,46,4,married,rented,no,Technical_writer,Sonipat,Haryana,4,14,0
5215838,62,1,married,rented,no,Air_traffic_controller,Raichur,Karnataka,1,12,0
9126131,29,18,single,rented,no,Hotel_Manager,Tirunelveli,Tamil_Nadu,9,12,0
3603506,74,6,single,rented,yes,Physician,Agra,Uttar_Pradesh,6,14,0
3736039,38,20,single,rented,no,Artist,Jamnagar,Gujarat,4,14,0
46244,36,9,single,rented,no,Statistician,Ajmer,Rajasthan,8,14,0
3944618,72,5,single,rented,no,Mechanical_engineer,Ozhukarai,Puducherry,4,11,0
6253358,70,10,single,rented,yes,Civil_servant,Navi_Mumbai,Maharashtra,7,11,0
1514872,76,8,single,rented,yes,Engineer,Mango,Jharkhand,8,13,0
4758365,66,8,married,rented,no,Software_Developer,Bikaner,Rajasthan,8,11,0
5316246,61,9,single,rented,yes,Drafter,Noida,Uttar_Pradesh,4,14,0
9232909,63,3,single,rented,yes,Official,Mysore[7][8][9],Karnataka,3,13,0
7692854,63,10,single,rented,yes,Lawyer,Satna,Madhya_Pradesh,10,11,0
757960,58,5,single,rented,yes,Engineer,Sambhal,Uttar_Pradesh,5,10,0
385066,53,1,single,rented,no,Drafter,Bidar,Karnataka,1,11,0
9830639,70,16,single,rented,no,Army_officer,Kadapa[23],Andhra_Pradesh,5,11,0
2460413,61,15,single,rented,no,Technical_writer,Dhule,Maharashtra,6,12,0
2570688,46,9,single,rented,no,Firefighter,Motihari[34],Bihar,9,11,0
4830100,37,11,married,rented,yes,Drafter,Udupi,Karnataka,11,12,0
1349987,37,13,single,owned,no,Army_officer,Dehri[30],Bihar,8,11,0
173096,40,13,single,rented,no,Politician,Ahmedabad,Gujarat,3,13,0
4527248,47,6,single,rented,yes,Psychologist,Malda,West_Bengal,6,13,0
7098940,60,5,single,rented,yes,Librarian,Aligarh,Uttar_Pradesh,5,11,0
8617150,30,5,single,rented,yes,Chef,Jodhpur,Rajasthan,5,12,0
7708426,42,14,single,rented,no,Industrial_Engineer,Sirsa,Haryana,7,13,0
3019045,76,12,single,rented,no,Design_Engineer,Jammu[16],Jammu_and_Kashmir,11,12,0
255460,26,14,single,rented,yes,Librarian,Gorakhpur,Uttar_Pradesh,13,13,0
4448630,39,3,single,rented,no,Physician,Katihar,Bihar,3,14,0
3149165,55,10,single,rented,no,Financial_Analyst,Allahabad,Uttar_Pradesh[5],10,11,0
8196418,61,15,single,owned,yes,Lawyer,Rajpur_Sonarpur,West_Bengal,5,12,0
6003357,48,9,single,rented,no,Artist,Etawah,Uttar_Pradesh,9,11,0
1039697,65,3,single,rented,no,Statistician,Cuttack,Odisha,3,14,0
3956624,66,18,single,rented,no,Designer,Srikakulam,Andhra_Pradesh,12,10,0
6906444,52,15,single,rented,no,Magistrate,Thanjavur,Tamil_Nadu,12,14,0
8790456,41,2,single,rented,no,Designer,Tiruppur,Tamil_Nadu,2,11,0
8796254,48,17,single,owned,yes,Computer_operator,Bikaner,Rajasthan,10,14,0
3959539,38,0,single,norent_noown,no,Microbiologist,Tadepalligudem,Andhra_Pradesh,0,14,0
911546,41,14,single,rented,no,Chartered_Accountant,Nagaon,Assam,8,12,0
3188212,61,14,single,rented,no,Designer,Alwar,Rajasthan,10,12,0
1996629,58,3,single,rented,no,Official,Ongole,Andhra_Pradesh,3,13,0
1500230,33,1,single,rented,yes,Designer,Farrukhabad,Uttar_Pradesh,1,13,0
8170612,62,3,single,rented,no,Politician,Bathinda,Punjab,3,12,0
9400836,58,5,single,rented,yes,Consultant,Bulandshahr,Uttar_Pradesh,5,13,0
7583437,74,13,single,owned,yes,Web_designer,Etawah,Uttar_Pradesh,9,13,0
1545384,35,14,single,rented,no,Analyst,Saharsa[29],Bihar,14,11,0
7488205,60,9,single,rented,no,Technical_writer,Jhansi,Uttar_Pradesh,9,10,0
7708426,42,14,single,rented,no,Industrial_Engineer,Sirsa,Haryana,7,13,0
8839194,25,3,single,rented,no,Surgeon,Buxar[37],Bihar,3,13,0
5554261,52,19,single,rented,yes,Software_Developer,Siwan[32],Bihar,8,13,0
827622,51,14,single,rented,no,Civil_servant,Bangalore,Karnataka,13,10,0
2412895,60,13,single,rented,no,Civil_engineer,Anand,Gujarat,4,13,0
485180,73,15,single,owned,yes,Technician,Mau,Uttar_Pradesh,3,13,0
9812254,35,15,single,norent_noown,no,Magistrate,Jorhat,Assam,8,11,0
1759925,47,18,single,owned,no,Comedian,Katni,Madhya_Pradesh,7,14,0
2162328,52,7,single,rented,no,Army_officer,Bahraich,Uttar_Pradesh,7,12,0
7026123,59,19,single,rented,yes,Drafter,Madanapalle,Andhra_Pradesh,4,10,0
6044767,60,12,single,rented,yes,Engineer,Coimbatore,Tamil_Nadu,10,13,0
5768112,52,3,single,owned,no,Physician,Karawal_Nagar,Delhi,3,11,0
8064946,21,3,single,rented,yes,Microbiologist,Mangalore,Karnataka,3,12,0
1924316,26,5,single,rented,yes,Dentist,Hazaribagh,Jharkhand,5,14,0
5856930,36,19,married,rented,yes,Mechanical_engineer,Miryalaguda,Telangana,11,10,0
5681211,79,18,single,rented,no,Web_designer,Ozhukarai,Puducherry,8,10,0
1568292,48,1,single,rented,no,Technology_specialist,Ozhukarai,Puducherry,1,14,0
1303925,57,11,single,rented,no,Secretary,Katihar,Bihar,11,14,0
9345456,35,12,married,rented,yes,Civil_servant,Pallavaram,Tamil_Nadu,7,10,0
7164498,70,18,single,rented,no,Magistrate,Jhansi,Uttar_Pradesh,10,14,0
3159546,75,5,married,rented,no,Librarian,Karawal_Nagar,Delhi,3,13,0
568758,34,5,single,rented,no,Design_Engineer,HubliÃ¢â¬âDharwad,Karnataka,5,13,0
2092893,50,2,single,rented,yes,Fashion_Designer,Thoothukudi,Tamil_Nadu,2,11,0
7829826,58,6,single,rented,yes,Web_designer,Karimnagar,Telangana,6,11,0
7730239,55,16,single,rented,yes,Technical_writer,Thane,Maharashtra,3,12,0
242234,30,7,single,rented,no,Software_Developer,Bhimavaram,Andhra_Pradesh,7,10,0
3272246,72,7,single,rented,yes,Surveyor,Kulti,West_Bengal,7,14,0
2036508,67,19,single,rented,no,Chartered_Accountant,Ambarnath,Maharashtra,6,10,0
5679259,78,17,single,rented,no,Official,Rohtak,Haryana,14,10,0
9804751,59,3,single,rented,no,Financial_Analyst,Ballia,Uttar_Pradesh,3,11,0
6117963,51,20,single,rented,yes,Magistrate,Bangalore,Karnataka,10,10,0
8487221,26,2,married,rented,no,Statistician,Cuttack,Odisha,2,12,0
7979699,47,15,married,rented,yes,Computer_operator,Karnal,Haryana,10,13,0
2177728,29,7,married,rented,yes,Dentist,Thane,Maharashtra,7,14,0
1803983,31,7,single,rented,no,Technical_writer,Bardhaman,West_Bengal,7,14,0
8561605,41,16,single,rented,no,Statistician,Bangalore,Karnataka,9,11,0
9437993,77,11,single,owned,no,Computer_hardware_engineer,Firozabad,Uttar_Pradesh,11,14,0
4718689,45,4,single,rented,yes,Surgeon,Dhanbad,Jharkhand,4,14,0
8515666,62,13,married,rented,no,Physician,Guntakal,Andhra_Pradesh,7,11,0
7805855,44,10,single,rented,yes,Industrial_Engineer,Eluru[25],Andhra_Pradesh,10,14,0
9664401,25,9,single,rented,no,Surgeon,Howrah,West_Bengal,6,14,0
9345456,35,12,married,rented,yes,Civil_servant,Pallavaram,Tamil_Nadu,7,10,0
8867649,78,1,single,rented,no,Industrial_Engineer,Dindigul,Tamil_Nadu,1,12,0
4239717,21,5,single,rented,no,Scientist,Ghaziabad,Uttar_Pradesh,5,12,0
7415733,25,0,single,rented,no,Hotel_Manager,Gurgaon,Haryana,0,12,0
4114765,50,20,single,rented,no,Hotel_Manager,Adoni,Andhra_Pradesh,12,10,0
8171478,48,13,single,rented,no,Aviator,Nellore[14][15],Andhra_Pradesh,9,11,0
5349013,54,12,single,rented,no,Statistician,Rourkela,Odisha,9,14,0
3248934,40,10,single,rented,no,Computer_hardware_engineer,Kolkata,West_Bengal,10,12,0
3372200,32,11,married,rented,no,Flight_attendant,Navi_Mumbai,Maharashtra,4,12,0
7781258,72,9,single,rented,no,Army_officer,South_Dumdum,West_Bengal,9,11,0
2214555,45,4,single,rented,no,Comedian,Sonipat,Haryana,4,12,0
3085012,24,0,single,rented,no,Aviator,Raichur,Karnataka,0,10,0
8724013,79,19,single,rented,no,Economist,Morena,Madhya_Pradesh,13,12,0
